A00001,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,"Watercolour, ink, chalk and graphite on paper. Verso: graphite on paper",,,"arm/arms raised, kneeling, sitting, man, man, old, blessing",date not known
A00974,Young Anglers,Etching and engraving on paper,,,"bottle, fishing rod, watering can, hoop, boy, group, kneeling, standing, fishing, playing, reed, stream, wooded, townscape, distant",1811
,,,,,,
A00975,"Young Anglers, engraved by Robert Dunkarton",Etching and mezzotint on paper,,,"bottle, fishing rod, watering can, hoop, boy, group, kneeling, standing, fishing, playing, reed, stream, wooded, townscape, distant",1811
,,,,,,
A00976,"St Catherine’s Hill, near Guildford",Etching and engraving on paper,,,"England, ""Guildford, St Catherines Chapel"", Surrey, boy, man, chapel, farm, gate, road, religious, cow, horse, hill, tree",1811
,,,,,,
A00977,"St Catherine’s Hill near Guildford, engraved by J.C. Easling",Etching and mezzotint on paper,,,"England, ""Guildford, St Catherines Chapel"", Surrey, boy, man, chapel, farm, livestock pen, gate, road, religious, cow, horse, hill, shadow, tree",1811
,,,,,,
A00978,"Martello Towers, nr Bexhill, Sussex",Etching and engraving on paper,,,"Bexhill-on-Sea, England, Sussex, East, beach, cliff, coast, sea, donkey, horse, boat - non-specific, pack animal, riding, child, man, woman, fortification, road, townscape, distant, soldier",1811
,,,,,,
A00979,"Martello Towers near Bexhill, Sussex, engraved by William Say",Etching and mezzotint on paper,,,"Bexhill-on-Sea, England, Sussex, East, beach, cliff, coast, sea, donkey, horse, shadow, boat - non-specific, pack animal, riding, child, man, woman, fortification, road, townscape, distant, soldier",1811
,,,,,,
A00980,Inverary Pier,Etching and engraving on paper,,,"Argyll and Bute, Inveraray - non-specific, Loch Fyne, Scotland, anchor, boat, sailing, group, man, lake, morning, mountain, pier",1811
,,,,,,
A00981,Inverary Pier. Loch Fyne. Morning,"Etching, aquatint and mezzotint on paper",,,"Argyll and Bute, Inveraray - non-specific, Loch Fyne, Scotland, anchor, boat, sailing, group, man, lake, morning, mountain, pier",1811
,,,,,,
A00982,From Spenser’s Fairy Queen,Etching and engraving on paper,,,"""Spenser, Edmund, The Faerie Queen"", bird of prey, cliff, gorge, rocky, tree, trunk, blasted, despair, isolation, helmet, shield, sword, man, soldier",1811
,,,,,,
A00983,"From Spenser’s Fairy Queen, engraved by Thomas Hodgetts",Etching and mezzotint on paper,,,"""Spenser, Edmund, The Faerie Queen"", bird of prey, cliff, gorge, rocky, tree, trunk, blasted, despair, isolation, helmet, shield, sword, man, soldier",1811
,,,,,,
A00984,Water-Mill,Etching and engraving on paper,,,"boy, girl, man, woman, drinking, horse, stream, valley, wooded, riding, watermill",1812
,,,,,,
A00985,"Water Mill, engraved by Robert Dunkarton",Etching and mezzotint on paper,,,"boy, girl, man, woman, dog - non-specific, horse, drinking, stream, valley, wooded, riding, watermill",1812
,,,,,,
A00986,Scene in the Campagna,Etching and engraving on paper,,,"Italy, Campagna di Roma, building, classical, townscape, distant, water tank, goat, hill, wooded, washing, woman",1812
,,,,,,
A00987,"Scene in the Campagna, engraved by William Say",Etching and mezzotint on paper,,,"Italy, Campagna di Roma, building, classical, townscape, distant, water tank, goat, hill, wooded, washing, woman",1812
,,,,,,
A00988,Crypt of Kirkstall Abbey,Etching and aquatint on paper,,,"England, Kirkstall, Kirkstall Abbey, Leeds, Romanesque, arch, capital, ceiling, column, corbel, religious, abbey, crypt, cow, pool",c.1811–2
,,,,,,
A00989,The Crypt of Kirkstall Abbey,"Etching, aquatint and mezzotint on paper",,,"England, Kirkstall, Kirkstall Abbey, Leeds, Romanesque, abbey, arch, capital, ceiling, column, religious, cow, pool, crypt",1812
,,,,,,
A00990,The Mildmay Sea-piece,Etching on paper,,,"anchor, boat, sailing, baby, boy, man, woman, running, barrel, beach, sea",1812
,,,,,,
A00991,"The Mildmay Sea Piece, engraved by Wiliam Annis and J.C. Easling",Etching and mezzotint on paper,,,"anchor, boat, sailing, baby, boy, man, woman, running, barrel, beach, sea, sunset",1812
,,,,,,
A00992,Procris and Cephalus,Etching on paper,,,"Cephalus, Procris, ""Ovid, Metamorphoses"", arrow, bow, couple, death, dog - non-specific, wooded, hunting, man, woman, reclining, supporting, sadness",c.1811–2
,,,,,,
A00993,"Procris and Cephalus, engraved by George Clint",Etching and mezzotint on paper,,,"Cephalus, Procris, ""Ovid, Metamorphoses"", arrow, bow, couple, death, dog - non-specific, wooded, hunting, man, woman, reclining, supporting, sadness",1812
,,,,,,
A00994,"Winchelsea, Sussex",Etching and engraving on paper,,,"England, Sussex, East, Winchelsea - non-specific, child, man, woman, hill, wooded, road, tower, soldier",1812
,,,,,,
A00995,"Winchelsea, Sussex, engraved by J.C. Easling",Etching and mezzotint on paper,,,"England, Sussex, East, Winchelsea - non-specific, child, man, hill, wooded, road, tower, soldier",1812
,,,,,,
A00996,The Bridge and Goats,Etching and engraving on paper,,,"bridge, castle, child, man, woman, pointing, goat, hill, valley, wooded, goatherd",1812
,,,,,,
A00997,"Bridge and Goats, engraved by F.C. Lewis","Etching, aquatint and mezzotint on paper",,,"bridge, castle, child, man, woman, pointing, goat, hill, valley, wooded, sunrise, goatherd",1812
,,,,,,
A00998,Calm,Print on paper,,,"boat, sailing, group, man, reflection, sea, sailor",1812
,,,,,,
A00999,Calm,"Etching, aquatint and mezzotint on paper",,,"boat, sailing, group, man, reflection, sea, sailor",1812
,,,,,,
A01000,"Peat Bog, Scotland",Etching and engraving on paper,,,"Scotland, figure, horse, mountain, peat bog, peat cutter",1812
,,,,,,
A01001,"Peat Bog, Scotland, engraved by George Clint","Etching, mezzotint and aquatint on paper",,,"Scotland, figure, horse, mountain, peat bog, storm, peat cutter",1812
,,,,,,
A01002,Rispah,Etching and engraving on paper,,,"2 Samuel, chapter 21, Rizpah, corpse, skeleton, sitting, woman, grief, hill, wooded, pool",1812
,,,,,,
A01003,"Rispah, engraved by Robert Dunkarton",Etching and mezzotint on paper,,,"Rizpah, corpse, skeleton, protecting, sitting, woman, grief, hill, wooded, moon, star, night, pool, mother, shroud, torch",1812
,,,,,,
A01004,Hedging and Ditching,Etching and engraving on paper,,,"farm labourer, hedging and ditching, farmland, hedge, sheep, tree, man, woman, pick axe, spade, road",1812
,,,,,,
A01005,"Hedging and Ditching, engraved by J.C. Easling",Etching and mezzotint on paper,,,"farm labourer, hedging and ditching, farmland, hedge, sheep, tree, man, woman, pick axe, spade, road",1812
,,,,,,
A01006,River Wye,Print on paper,,,"Chepstow, Chepstow Castle, Monmouthshire, River Wye, Wales, bank, river, cliff, wooded, cow, horse, dock, bathing / swimming, bridge, castle, military, male, man",1812
,,,,,,
A01007,"River Wye, engraved by W. Annis",Etching and mezzotint on paper,,,"Chepstow, Chepstow Castle, Monmouthshire, River Wye, Wales, bank, river, cliff, wooded, cow, horse, dock, bathing / swimming, bridge, castle, military, male, man",1812
,,,,,,
A01008,Chain of Alps from Grenoble to Chamberi,Etching and engraving on paper,,,"Alps, France, Grenoble - non-specific, basket, harvesting, man, woman, mountain, valley, vineyard, vine, townscape, distant",1812
,,,,,,
A01009,"Chain of Alps from Grenoble to Chamberi, engraved by William Say",Etching and mezzotint on paper,,,"Alps, France, Grenoble - non-specific, basket, cloud, sunbeam, mountain, valley, vineyard, vine, harvesting, man, woman, townscape, distant",1812
,,,,,,
A01010,Mer de Glace,Etching and engraving on paper,Sublime,18th century,"Alps, Mer de Glace, France, glacier, mountain, rocky",1812
,,,,,,
A01011,Mer de Glace,Etching and mezzotint on paper,Sublime,18th century,"Alps, Mer de Glace, France, glacier, mountain, rocky",1812
,,,,,,
A01012,"Rivaux Abbey, Yorkshire",Etching and engraving on paper,,,"England, Rievaulx, Rievaulx Abbey, Yorkshire, North, abbey, religious, man, wooded",1812
,,,,,,
A01013,"Rivaux Abbey, engraved by Henry Dawe",Etching and mezzotint on paper,,,"England, Rievaulx, Rievaulx Abbey, Yorkshire, North, abbey, religious, man, wooded",1812
,,,,,,
A01014,"Rivaux Abbey, Yorkshire",Etching and mezzotint engraving on paper,,,"England, Rievaulx, Rievaulx Abbey, Yorkshire, North, abbey, religious, man, wooded",1812
,,,,,,
A01015,Solway Moss,Etching and engraving on paper,,,"Dumfries and Galloway, Scotland, Solway Moss, cow, hill, marsh, pool, reed, cowherd, man",1816
,,,,,,
A01016,Study for Heraldic Glass,"Watercolour, ink and graphite on paper",,,"""artists notes"", coat of arms, diagrammatic, lion, window, stained glass",1893
,,,,,,
A01017,Study for Heraldic Glass,Graphite on paper,,,"feeding, foliage, pelican",1893
,,,,,,
A01018,Emblems of Saints Luke and John,"Watercolour, ink and graphite on paper",,,"St John the Evangelist, St Luke, halo, St John the Evangelist - eagle, St Luke - ox, bull, eagle, wing, window, stained glass",1863
,,,,,,
A01019,Emblems of Saints Matthew and Mark,"Watercolour, ink and graphite on paper",,,"St Mark, St Matthew, angel, St Mark - lion, St Matthew - angel, book - non-specific, lion, wing, window, stained glass",1863
,,,,,,
A01020,After Rembrandt,Ink and watercolour on paper,,,"Rembrandt, paintings, interior - non-specific, man, woman, sitting",1822
,,,,,,
A01021,Archers,Graphite and watercolour on paper,,,"arrow, bow, attacking, group, man, soldier",date not known
,,,,,,
A01022,Head and Shoulders of a Woman and Another Head,Ink and watercolour on paper,,,"head / face, woman",date not known
,,,,,,
A01023,Head and Shoulders of a Woman,Watercolour on paper,,,"head / face, woman",date not known
,,,,,,
A01024,Julia Emily Gordon in a Fez,Graphite and watercolour on paper,Orientalist,19th century,"Gordon, Julia Emily, individuals: female, standing, woman, hat",1830
,,,,,,
A01025,Head and Shoulders of a Woman,Ink and watercolour on paper,,,"head / face, woman",1833
,,,,,,
A01026,The Broken Pitcher,Oil paint on board,,,"arm/arms raised, girl, jug, sadness",c.1814
,,,,,,
A01027,Going to School,Oil paint on board,,,"cottage, gate, girl, holding hands, weeping, woman, mother and child, purse, student, tree",c.1817
,,,,,,
A01028,The Gleaners,Oil paint on board,,,"dog - non-specific, field, girl, harvesting, playing, sheaf",date not known
,,,,,,
A01029,At the Brasserie,Watercolour and ink on paper,,,"bar, drinking, toasting, man, sitting",1931
,,,,,,
A01030,The Meeting,Watercolour and ink on paper,,,"man, woman, standing",1931
,,,,,,
A01031,The Arrival,Watercolour and ink on paper,,,"group, man, woman, hallway",1931
,,,,,,
A01032,The Bedroom,Watercolour and ink on paper,,,"bed, mirror, bedroom, dressing / undressing, legs crossed, sitting, man, woman, sex",1931
,,,,,,
A01033,The Departure,Watercolour and ink on paper,,,"brothel, cane, hat, hat stand, picture, caricature, morality, satire, door, drunkenness, linking arms, talking, man, woman",1931
,,,,,,
A01034,title not known,Graphite on paper,,,,1959
,,,,,,
A01035,title not known,Graphite on paper,,,,1959
,,,,,,
A01036,title not known,Graphite on paper,,,,1959
,,,,,,
A01037,title not known,Graphite on paper,,,,1959
,,,,,,
A01038,D.G. Rossetti Precociously Manifesting ... that Queer Indifference to Politics ...,Graphite and watercolour on paper,,,"Pre-Raphaelite Brotherhood, Rossetti, Dante Gabriel, Rossetti, Gabriele, boy, gesticulating, talking, group, groups, man, reclining, caricature, chair, mirror, table, drink, wine, fireplace, letter, drawing, drinking, reading, living room",1916–7
,,,,,,
A01039,"British Stock and Alien Inspiration, 1849",Graphite and watercolour on paper,,,"Disraeli, Benjamin, Hunt, William Holman, Millais, John Everett, 1st Baronet, Rossetti, Dante Gabriel, Jewish, Pre-Raphaelite Brotherhood, group, groups, individuals: male, man, standing, anti-semitism, caricature, race, artist, painter, politician - non-specific, politician, prime minister",1917
,,,,,,
A01040,Rossetti’s Courtship,Graphite and watercolour on paper,,,"Pre-Raphaelite Brotherhood, Rossetti, Dante Gabriel, Siddal, Elizabeth Eleanor, individuals: female, individuals: male, man, woman, artist, painter, caricature, courting, document - non-specific, fireplace, painting, mouse, studio, study",1916
,,,,,,
A01041,The Sole Remark Likely to Have Been Made by Benjamin Jowett about the Mural Paintings at the Oxford Union,Graphite and watercolour on paper,,,"England, Oxford, Oxford University, Oxfordshire, Jowett, Benjamin, Rossetti, Dante Gabriel, Pre-Raphaelite Brotherhood, groups, man, ""Malory, Thomas, Sir, Le Morte dArthur"", artist, painter, professor, caricature, hall, ladder, mahlstick, mural, paintbrush, painting materials, painting, window",1916
,,,,,,
A01042,"Miss Cornforth: ‘Oh, very pleased to meet Mr Ruskin, I’m sure’",Graphite and watercolour on paper,,,"Cornforth, Fanny, Rossetti, Dante Gabriel, Ruskin, John, Siddal, Elizabeth Eleanor, Pre-Raphaelite Brotherhood, greeting, groups, man, woman, artist, painter, model, author, critic, caricature, class, morality, mistress, prostitution, hat, painting, interior - non-specific",1916
,,,,,,
A01043,Ford Madox Brown being Patronized by Holman Hunt,Graphite and watercolour on paper,,,"Brown, Ford Madox, Brown, Oliver Madox, Hunt, William Holman, Pre-Raphaelite Brotherhood, beard, boy, individuals: male, man, artist, painter, caricature, father, son, chimney, window, townscape, distant, condescension, easel, painting, top, playing, studio, tree",1916
,,,,,,
A01044,A Momentary Vision that Once Befell Young Millais,Graphite and watercolour on paper,,,"Millais, John Everett, 1st Baronet, Ramage, Edie, Pre-Raphaelite Brotherhood, girl, man, man, old, recoiling, sitting, artist, painter, caricature, fancy dress / role play, chair, easel, paintbrush, painting, palette, hat, hat, cap, pipe, complacency, shock, smoking, studio, vision",1916
,,,,,,
A01045,"Spring Cottage, Hampstead, 1860",Graphite and watercolour on paper,,,"England, Hampstead, Spring Cottage, Patmore, Coventry, Rossetti, Dante Gabriel, Siddal, Elizabeth Eleanor, Pre-Raphaelite Brotherhood, gesticulating, individuals: female, individuals: male, kneeling, sitting, man, woman, artist, painter, poet, attic, caricature, chair, hat, tea pot",1917
,,,,,,
A01046,"Woolner at Farringford, 1857",Graphite and watercolour on paper,,,"England, Farringford, Isle of Wight, Pre-Raphaelite Brotherhood, Sellwood, Emily, Tennyson, Alfred Tennyson, 1st Baron, Tennyson, Emily, Woolner, Thomas, beard, groups, individuals: male, legs crossed, sitting, man, woman, talking, artist, sculptor, poet, caricature, living room, picture, sculpture, window",1917
,,,,,,
A01047,Blue China,Graphite and watercolour on paper,,,"Carlyle, Thomas, Whistler, James Abbot McNeill, Pre-Raphaelite Brotherhood, individuals: male, man, artist, painter, poet, caricature, ceramics, picture, interior - non-specific",1916
,,,,,,
A01048,The Small Hours in the ‘Sixties at 16 Cheyne Walk,Graphite and watercolour on paper,,,"Pre-Raphaelite Brotherhood, beard, groups, man, obesity, reclining, sitting, candle, candlestick, couch",1916
,,,,,,
A01049,Topsy and Ned Jones Settled on the Settle in Red Lion Square,Graphite and watercolour on paper,,,"Burne-Jones, Edward, Morris, William, Pre-Raphaelite Brotherhood, individuals: male, man, sitting, talking, England, Red Lion Square, artist - non-specific, bread, drink, beer, broom, settle, table, caricature, writing",1916
,,,,,,
A01050,"Rossetti, having just had a fresh consignment of ‘stunning’ fabrics ... tries hard to prevail on his younger sister to accept ... one",Graphite and watercolour on paper,,,"Pre-Raphaelite Brotherhood, Rossetti, Christina, Rossetti, Dante Gabriel, arguing, groups, individuals: male, man, woman, artist, painter, brother, caricature, chair, drapery, picture, living room",1917
,,,,,,
A01051,Rossetti in his Worldlier Days Leaving the Arundel Club with George Augustus Sala,Graphite and watercolour on paper,,,"Pre-Raphaelite Brotherhood, Rossetti, Dante Gabriel, Sala, George Augustus, individuals: male, linking arms, man, obesity, walking, artist, painter, journalist, building - non-specific, street, cane, cigar, caricature, moon, night, smoking",1916
